X_Temperature,X_Humidity,X_Light,X_CO2,X_HumidityRatio,Y
23.18,27.272,426.0,721.25,0.0047929883,1
23.15,27.2675,429.5,714.0,0.004783441,1
23.15,27.245,426.0,713.5,0.0047794636,1
23.15,27.2,426.0,708.25,0.0047715087,1
23.1,27.2,426.0,704.5,0.004756993,1
23.1,27.2,419.0,701.0,0.004756993,1
23.1,27.2,419.0,701.6667,0.004756993,1
23.1,27.2,419.0,699.0,0.004756993,1
23.1,27.2,419.0,689.3333,0.004756993,1
23.075,27.175,419.0,688.0,0.0047453507,1
23.075,27.15,419.0,690.25,0.004740952,1
23.1,27.1,419.0,691.0,0.0047393707,1
23.1,27.166666,419.0,683.5,0.004751119,1
23.05,27.15,419.0,687.5,0.004733732,1
23.0,27.125,419.0,686.0,0.004714942,1
23.0,27.125,418.5,680.5,0.004714942,1
23.0,27.2,0.0,681.5,0.004728078,0
22.945,27.29,0.0,685.0,0.0047279513,0
22.945,27.39,0.0,685.0,0.0047454084,0
22.89,27.39,0.0,689.0,0.004729506,0
22.89,27.39,0.0,689.5,0.004729506,0
22.89,27.39,0.0,689.0,0.004729506,0
22.89,27.445,0.0,691.0,0.0047390754,0
22.89,27.5,0.0,688.0,0.0047486452,0
22.89,27.5,0.0,689.5,0.0047486452,0
22.79,27.445,0.0,689.0,0.004710224,0
22.79,27.5,0.0,685.6667,0.004719735,0
22.79,27.5,0.0,687.0,0.004719735,0
22.79,27.5,0.0,688.0,0.004719735,0
22.745,27.5,0.0,670.0,0.0047067762,0
22.7,27.463333,0.0,668.6667,0.004687543,0
22.7,27.5,0.0,670.0,0.0046938485,0
22.7,27.5,0.0,667.0,0.0046938485,0
22.666666,27.426666,0.0,664.5,0.0046717077,0
22.7,27.6,0.0,670.0,0.0047110463,0
22.6,27.426666,0.0,670.3333,0.0046526995,0
22.6,27.39,0.0,672.0,0.0046464326,0
22.6,27.356667,0.0,658.0,0.004640736,0
22.6,27.445,0.0,660.5,0.004655833,0
22.6,27.426666,0.0,658.0,0.0046526995,0
22.6,27.445,0.0,655.0,0.004655833,0
22.6,27.445,0.0,654.25,0.004655833,0
22.6,27.39,0.0,648.0,0.0046464326,0
22.5,27.323334,0.0,648.6667,0.0046067634,0
22.5,27.445,0.0,646.0,0.004627429,0
22.5,27.5,0.0,646.0,0.0046367715,0
22.5,27.445,0.0,641.5,0.004627429,0
22.39,27.29,0.0,639.0,0.004570212,0
22.5,27.5,0.0,640.0,0.0046367715,0
22.39,27.34,0.0,630.5,0.004578647,0
22.39,27.356667,0.0,629.3333,0.004581459,0
22.39,27.5,0.0,632.0,0.0046056407,0
22.39,27.5,0.0,636.5,0.0046056407,0
22.39,27.5,0.0,627.5,0.0046056407,0
22.39,27.39,0.0,626.0,0.0045870827,0
22.39,27.5,0.0,625.5,0.0046056407,0
22.34,27.39,0.0,623.5,0.0045730504,0
22.39,27.463333,0.0,624.6667,0.004599455,0
22.39,27.39,0.0,622.0,0.0045870827,0
22.29,27.39,0.0,621.0,0.0045590564,0
22.34,27.39,0.0,626.5,0.0045730504,0
22.29,27.39,0.0,622.0,0.0045590564,0
22.39,27.39,0.0,620.0,0.0045870827,0
22.29,27.39,0.0,621.5,0.0045590564,0
22.29,27.356667,0.0,616.3333,0.004553467,0
22.29,27.34,0.0,609.0,0.0045506726,0
22.29,27.39,0.0,614.0,0.0045590564,0
22.29,27.34,0.0,613.5,0.0045506726,0
22.29,27.34,0.0,611.0,0.0045506726,0
22.29,27.39,0.0,612.0,0.0045590564,0
22.29,27.29,0.0,608.0,0.00454229,0
22.29,27.29,0.0,605.5,0.00454229,0
22.2675,27.315,0.0,608.5,0.0045402134,0
22.2,27.29,0.0,608.5,0.0045172884,0
22.245,27.29,0.0,602.5,0.0045297737,0
22.2,27.29,0.0,598.0,0.0045172884,0
22.2,27.29,0.0,595.0,0.0045172884,0
22.2,27.29,0.0,591.0,0.0045172884,0
22.245,27.245,0.0,591.0,0.00452225,0
22.2,27.2,0.0,595.0,0.004502283,0
22.2,27.29,0.0,594.3333,0.0045172884,0
22.2,27.29,0.0,593.5,0.0045172884,0
22.2,27.29,0.0,592.0,0.0045172884,0
22.15,27.245,0.0,586.5,0.0044959714,0
22.2,27.2,0.0,586.0,0.004502283,0
22.15,27.245,0.0,586.0,0.0044959714,0
22.2,27.245,0.0,584.5,0.004509785,0
22.1,27.245,0.0,584.5,0.004482195,0
22.1,27.2,0.0,585.5,0.004474738,0
22.133333,27.2,0.0,584.6667,0.0044839033,0
22.2,27.2,0.0,577.0,0.004502283,0
22.1,27.2,0.0,580.0,0.004474738,0
22.125,27.2,0.0,582.0,0.0044816104,0
22.2,27.2,0.0,580.0,0.004502283,0
22.1,27.15,0.0,578.0,0.0044664536,0
22.1,27.2,0.0,576.5,0.004474738,0
22.1,27.2,0.0,580.0,0.004474738,0
22.1,27.2,0.0,572.5,0.004474738,0
22.1,27.2,0.0,567.0,0.004474738,0
22.1,27.2,0.0,568.0,0.004474738,0
22.1,27.2,0.0,574.5,0.004474738,0
22.1,27.2,0.0,564.3333,0.004474738,0
22.1,27.2,0.0,563.0,0.004474738,0
22.1,27.15,0.0,564.5,0.0044664536,0
22.066668,27.166666,0.0,566.3333,0.004460078,0
22.1,27.1,0.0,562.0,0.004458169,0
22.0,27.1,0.0,565.5,0.0044308756,0
22.0,27.1,0.0,570.0,0.0044308756,0
22.05,27.15,0.0,562.0,0.0044527627,0
22.0,27.1,0.0,560.0,0.0044308756,0
22.0,27.1,0.0,558.0,0.0044308756,0
22.0,27.1,0.0,556.0,0.0044308756,0
22.0,27.1,0.0,557.0,0.0044308756,0
